Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10032309591770171,0.10075925908475594,0.10032309591770171,0.10032309591770172,469033600,0.0,0.0
1980-12-15,0.09552534544112033,0.09552534544112033,0.09508918225765228,0.09508918225765228,175884800,0.0,0.0
1980-12-16,0.08854600082184705,0.08854600082184705,0.08810984343290329,0.08810984343290329,105728000,0.0,0.0
1980-12-17,0.0902906134724617,0.09072677654721781,0.0902906134724617,0.0902906134724617,86441600,0.0,0.0
1980-12-18,0.09290837496519087,0.09334453228338987,0.09290837496519087,0.09290837496519089,73449600,0.0,0.0
1980-12-19,0.09857846051454544,0.09901462370645481,0.09857846051454544,0.09857846051454544,48630400,0.0,0.0
1980-12-22,0.10337620973587036,0.10381315321345287,0.10337620973587036,0.10337620973587036,37363200,0.0,0.0
1980-12-23,0.10773859173059464,0.10817475484980453,0.10773859173059464,0.10773859173059464,46950400,0.0,0.0
1980-12-24,0.11340871453285219,0.11384487779511172,0.11340871453285219,0.11340871453285217,48003200,0.0,0.0
1980-12-26,0.12387730181217192,0.1243134649282731,0.12387730181217192,0.12387730181217194,55574400,0.0,0.0
1980-12-29,0.12562191486358643,0.1260580778832849,0.12562191486358643,0.12562191486358643,93161600,0.0,0.0
1980-12-30,0.12300493000068377,0.12300493000068377,0.122568778693676,0.122568778693676,68880000,0.0,0.0
1980-12-31,0.11951573817760273,0.11951573817760273,0.11907957494258882,0.1190795749425888,35750400,0.0,0.0
1981-01-02,0.12038799375295639,0.12126031979368172,0.12038799375295639,0.12038799375295639,21660800,0.0,0.0
1981-01-05,0.11820721820109338,0.11820721820109338,0.11777106672525406,0.11777106672525406,35728000,0.0,0.0
1981-01-06,0.11297250403180006,0.11297250403180006,0.11253634095191957,0.11253634095191956,45158400,0.0,0.0
1981-01-07,0.10817475484980453,0.10817475484980453,0.10773859173059464,0.10773859173059464,55686400,0.0,0.0
1981-01-08,0.10599397325474967,0.10599397325474967,0.10555782169103622,0.10555782169103622,39827200,0.0,0.0
1981-01-09,0.11122790724039078,0.11166407049234249,0.11122790724039078,0.11122790724039078,21504000,0.0,0.0
1981-01-12,0.11122787808958433,0.11122787808958433,0.11035556346178055,0.11035556346178055,23699200,0.0,0.0
1981-01-13,0.10686627643190356,0.10686627643190356,0.10643011331558226,0.10643011331558228,23049600,0.0,0.0
1981-01-14,0.1068662703037262,0.107302433395036,0.1068662703037262,0.1068662703037262,14291200,0.0,0.0
1981-01-15,0.10904711484909058,0.10991942971009981,0.10904711484909058,0.10904711484909058,14067200,0.0,0.0
1981-01-16,0.10861095669695692,0.10861095669695692,0.10817479342222214,0.10817479342222214,13395200,0.0,0.0
1981-01-19,0.11471714824438095,0.11515331133772284,0.11471714824438095,0.11471714824438095,41574400,0.0,0.0
1981-01-20,0.11166407049234249,0.11166407049234249,0.11122790724039078,0.11122790724039078,30083200,0.0,0.0
1981-01-21,0.11340871453285219,0.11428102940988917,0.11340871453285219,0.11340871453285217,15904000,0.0,0.0
1981-01-22,0.11471714824438095,0.11558947443106472,0.11471714824438095,0.11471714824438095,35548800,0.0,0.0
1981-01-23,0.11471714689386356,0.11515330998207067,0.11428098380565645,0.11428098380565643,11222400,0.0,0.0
1981-01-26,0.11297250403180006,0.11297250403180006,0.11253634095191957,0.11253634095191956,24640000,0.0,0.0
1981-01-27,0.1125363865448079,0.1125363865448079,0.11166407167911528,0.1116640716791153,23699200,0.0,0.0
1981-01-28,0.10861095669695692,0.10861095669695692,0.10817479342222214,0.10817479342222214,28156800,0.0,0.0
1981-01-29,0.10468544668013338,0.10468544668013338,0.10424928367137909,0.10424928367137909,43904000,0.0,0.0
1981-01-30,0.09945078689836419,0.09945078689836419,0.09857846051454544,0.09857846051454544,46188800,0.0,0.0
1981-02-02,0.09334453228338987,0.09334453228338987,0.09290837496519087,0.09290837496519089,23766400,0.0,0.0
1981-02-03,0.09639767557382585,0.09683383297694223,0.09639767557382585,0.09639767557382584,19152000,0.0,0.0
1981-02-04,0.09988693147897719,0.10032308294214103,0.09988693147897719,0.0998869314789772,27865600,0.0,0.0
1981-02-05,0.09988693147897719,0.1007592460527829,0.09988693147897719,0.0998869314789772,7929600,0.0,0.0
1981-02-06,0.10032309591770171,0.10075925908475594,0.10032309591770171,0.10032309591770172,13865600,0.0,0.0
1981-02-09,0.09596150280084838,0.09596150280084838,0.09508918225765228,0.09508918225765228,16755200,0.0,0.0
1981-02-10,0.09508918225765228,0.09552534544112033,0.09508918225765228,0.09508918225765228,18345600,0.0,0.0
1981-02-11,0.09247221085194011,0.09247221085194011,0.09203605353832245,0.09203605353832245,13843200,0.0,0.0
1981-02-12,0.09159986338774673,0.09159986338774673,0.09116291999816893,0.09116291999816895,14560000,0.0,0.0
1981-02-13,0.08985445537500564,0.08985445537500564,0.08898213505744933,0.08898213505744934,11155200,0.0,0.0
1981-02-17,0.09116291999816893,0.09159986338774673,0.09116291999816893,0.09116291999816895,12275200,0.0,0.0
1981-02-18,0.09508918225765228,0.09596150280084838,0.09508918225765228,0.09508918225765228,19241600,0.0,0.0
1981-02-19,0.08985446260190139,0.08985446260190139,0.08941829949617386,0.08941829949617386,22310400,0.0,0.0
1981-02-20,0.08505669845414911,0.08505669845414911,0.08462053537368774,0.08462053537368774,24371200,0.0,0.0
1981-02-23,0.0859290286898613,0.08636519185012659,0.0859290286898613,0.0859290286898613,14112000,0.0,0.0
1981-02-24,0.08374824295020614,0.08374824295020614,0.08287592232227325,0.08287592232227325,16979200,0.0,0.0
1981-02-25,0.08810984343290329,0.08854600082184705,0.08810984343290329,0.08810984343290329,19488000,0.0,0.0
1981-02-26,0.08941829949617386,0.08985446260190139,0.08941829949617386,0.08941829949617386,10841600,0.0,0.0
1981-02-27,0.09247222542762756,0.0933445460160995,0.09247222542762756,0.09247222542762756,14761600,0.0,0.0
1981-03-02,0.09290837496519087,0.09334453228338987,0.09290837496519087,0.09290837496519089,11760000,0.0,0.0
1981-03-03,0.09203605223075839,0.09203605223075839,0.09159988909959793,0.09159988909959793,16172800,0.0,0.0
1981-03-04,0.09116295014155748,0.09116295014155748,0.09072679281234741,0.09072679281234741,13708800,0.0,0.0
1981-03-05,0.09072677654721781,0.09072677654721781,0.0902906134724617,0.0902906134724617,5376000,0.0,0.0
1981-03-06,0.09029061988388994,0.09029061988388994,0.08941829949617386,0.08941829949617386,11603200,0.0,0.0
1981-03-09,0.082875907758418,0.082875907758418,0.08243975043296814,0.08243975043296814,15321600,0.0,0.0
1981-03-10,0.07894971272206326,0.07894971272206326,0.07851355522871017,0.07851355522871017,28380800,0.0,0.0
1981-03-11,0.0763327322120666,0.0763327322120666,0.07546041160821915,0.07546041160821915,29859200,0.0,0.0
1981-03-12,0.07851355522871017,0.07894971272206326,0.07851355522871017,0.07851355522871017,59248000,0.0,0.0
1981-03-13,0.07807736132199207,0.07807736132199207,0.07764120399951935,0.07764120399951935,231302400,0.0,0.0
